,video_id,views,subscriberCount,category_id_1,category_id_2,category_id_10,category_id_15,category_id_17,category_id_19,category_id_20,category_id_22,category_id_23,category_id_24,category_id_25,category_id_26,category_id_27,category_id_28,category_id_29
0,5ugKfHgsmYw,188085,40817.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,ohObafdd34Y,90929,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,aBr2kKAHN6M,6408303,2513320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,5wNnwChvmsQ,96255,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,B7J47qFvdsk,108408,1451446.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,OIDfjdGERr8,193593,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,KqtWo-4A0LU,55465,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,MPQaySneSUc,66272,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,zIhc0rXajCk,57820,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,FVPmVIfl3-o,105112,667198.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,CcWHJuzPUKY,76621,11863.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,nvSvrGUaRL0,245032,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,GbHQfKUVEqk,37906,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,TC-ipmLi9PA,120824,836038.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,UQVs2qDBe10,1649451,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,cXopRwPxg2M,23572,277117.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,bFrhcY9exgo,34020,189.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,bvgF6esNfeQ,121271,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,ylojY8-BfWU,51006,395269.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,zr99xwEg6Pg,98294,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,u1LbK98Yphs,43853,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,29Gd024WhDA,28545,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,iP3symHIsUs,18025,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0aH2JyPKkcQ,12637,18131.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,B_v4nRnOs4A,91931,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,pVxOVlm_lE8,12908071,13268178.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
